,Open,High,Low,Close,Volume
9:31:00,1107.72,1107.72,1107.11,1107.62,35271
9:32:00,1108.36,1110,1107.29,1110,8386
9:33:00,1112.11,1112.11,1109.29,1109.29,9096
9:34:00,1107.5,1107.5,1103.2198,1103.2198,10595
9:35:00,1103.85,1103.85,1102.36,1102.36,13013
9:36:00,1100,1100,1100,1100,4392
9:37:00,1101.65,1101.65,1100.4,1100.4,6834
9:38:00,1100.7,1101.1899,1097.53,1097.53,8551
9:39:00,1098.7305,1098.96,1098.7305,1098.96,4929
9:40:00,1097.86,1098.03,1097.86,1098.03,5933
9:41:00,1098.27,1099.85,1098.27,1099.6163,12482
9:42:00,1101.6899,1101.6899,1101.54,1101.54,4935
9:43:00,1099.3101,1100.13,1099.3101,1100.13,5540
9:44:00,1101.6317,1101.6317,1100,1100,6136
9:45:00,1099.42,1099.42,1099.42,1099.42,2227
9:46:00,1102.5,1102.5,1102.5,1102.5,1777
9:47:00,1101.6,1103,1101.6,1103,7744
9:48:00,1101.34,1102.35,1101.34,1102.35,5036
9:49:00,1099.58,1101.1,1099.58,1101.1,4366
9:50:00,1102.3647,1102.3647,1099.61,1099.61,4601
9:51:00,1099.29,1099.5551,1099.29,1099.5551,4995
9:52:00,1100.12,1102.92,1100.12,1102.92,8410
9:53:00,1102.78,1102.78,1102.585,1102.585,3675
9:54:00,1100.76,1100.76,1100.76,1100.76,1674
9:55:00,1101.2,1101.2,1099.97,1099.97,4020
9:56:00,1099.6801,1099.6801,1099.6801,1099.6801,7051
9:57:00,1099.33,1101.8199,1099.33,1101.8199,4079
9:58:00,1100.67,1101.0699,1099.42,1099.42,5601
9:59:00,1099.04,1099.04,1098.37,1098.37,6794
10:00:00,1097.67,1097.67,1097.16,1097.16,4266
10:01:00,1096.5601,1098,1096.5601,1097.11,12864
10:02:00,1097.785,1097.785,1097.785,1097.785,2647
10:03:00,1098.36,1098.36,1095.71,1095.71,4683
10:04:00,1095.6801,1095.6801,1095.29,1095.29,6700
10:05:00,1095,1095,1094.4399,1094.4399,5554
10:06:00,1094.0751,1097.005,1094.0751,1095.86,11043
10:07:00,1095.385,1095.385,1095.15,1095.15,4357
10:08:00,1094.6801,1094.85,1094.6801,1094.85,5343
10:09:00,1095.87,1095.87,1094.39,1094.39,4416
10:10:00,1095.85,1095.85,1095.01,1095.01,4855
10:11:00,1095.23,1095.23,1095.23,1095.23,2772
10:12:00,1095,1097.08,1094.4,1097.08,5511
10:13:00,1094.83,1094.83,1094.83,1094.83,1267
10:14:00,1094.803,1094.803,1094.803,1094.803,1085
10:15:00,1094.59,1094.59,1092.27,1092.27,10261
10:16:00,1091.74,1092.36,1091,1091,8208
10:17:00,1091.63,1091.63,1091.41,1091.41,4041
10:18:00,1091.4301,1091.4301,1091.4301,1091.4301,963
10:19:00,1090.67,1090.67,1090.67,1090.67,1760
10:20:00,1090,1090,1089.38,1089.38,4461
10:21:00,1090.33,1091.4183,1090.33,1091.4183,7308
10:22:00,1091.92,1092.42,1091.92,1092.42,7255
10:23:00,1094,1094,1094,1094,1754
10:24:00,1094.63,1094.6665,1094.63,1094.6665,3099
10:25:00,1095.59,1095.59,1095.59,1095.59,2405
10:26:00,1096.696,1096.696,1096.696,1096.696,2427
10:27:00,1097.05,1097.05,1097.05,1097.05,1031
10:28:00,1097.2058,1097.2058,1096.72,1096.92,5523
10:29:00,1096.9399,1096.9399,1096.9399,1096.9399,1070
10:30:00,1097.05,1097.05,1097.05,1097.05,2065
10:31:00,1095.52,1095.71,1095.52,1095.71,3129
10:32:00,1095.6821,1095.6821,1095.6821,1095.6821,3177
10:33:00,1096.2725,1096.2725,1096.2725,1096.2725,1700
10:34:00,1097.08,1097.735,1097.08,1097.735,3904
10:35:00,1098.85,1098.85,1098.85,1098.85,2197
10:36:00,1098.3857,1098.3857,1098.3857,1098.3857,2763
10:38:00,1098.16,1098.51,1098.16,1098.51,3849
10:39:00,1098.0699,1098.1154,1098.0699,1098.1154,3660
10:40:00,1097.0699,1097.22,1097.0699,1097.22,4866
10:41:00,1098.0544,1098.4659,1098.0544,1098.4659,4908
10:42:00,1097.2498,1097.9,1097.2498,1097.9,3837
10:43:00,1097.4435,1097.4435,1096.26,1096.26,3714
10:44:00,1097.0601,1097.0601,1097.0601,1097.0601,1470
10:45:00,1095.72,1095.72,1095.72,1095.72,1429
10:46:00,1095.6768,1095.6768,1095.6768,1095.6768,2143
10:47:00,1095.91,1096.55,1095.91,1096.55,3784
10:48:00,1096.61,1096.61,1096.61,1096.61,4274
10:49:00,1096.11,1096.11,1096.11,1096.11,1376
10:50:00,1097.03,1097.03,1097.03,1097.03,1382
